Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
28,2018-06-30,24013015677.32,13534391923.48,10478623753.84,850034085.92
29,2014-06-30,4389048260.74,2619928993.68,1769119267.06,49708643.45
29,2014-12-31,4375098314.05,2341993317.9,2033104996.15,399474826.9
29,2015-06-30,4462555955.87,2243066850.84,2219489105.03,249447426.94
29,2015-12-31,4179937120.75,1976489324.32,2203447796.43,409683201.71
29,2016-06-30,4476971687.18,2141037872.75,2335933814.43,175899805.71
29,2016-12-31,3785600783.23,1269633913.35,2515966869.88,419200422.7
29,2017-06-30,3795348770.68,1140130717.02,2655218053.66,184177402.04
29,2017-12-31,3989263981.96,1289241420.42,2700022561.54,243779515.63
29,2018-06-30,4516278981.14,1487905468.42,3028373512.72,440319083.66
30,2014-06-30,7279402449.33,2816141628.37,4463260820.96,363422219.86
30,2014-12-31,7271114435.0,2508871951.07,4762242483.93,659232127.58
30,2015-06-30,7330500516.37,2402813321.32,4927687195.05,320775666.95
30,2015-12-31,8085376947.33,2780460894.36,5304916052.97,522774486.34
30,2016-06-30,8468421366.94,2996172483.62,5472248883.32,373193446.9
30,2016-12-31,9072987293.6,3298031506.11,5774955787.49,649343102.8
30,2017-06-30,9394929085.89,3446278184.18,5948650901.71,483762434.66
30,2017-12-31,10364348492.24,4039925411.17,6324423081.07,921342798.03
30,2018-06-30,11260881275.27,4592550301.18,6668330974.09,510890231.83
31,2014-06-30,43751631416.32,34294447134.39,9457184281.93,375385177.68
31,2014-12-31,46311473255.99,35646435465.79,10665037790.2,1397137468.31
31,2015-06-30,49554058119.46,38858959500.51,10695098618.95,342668559.25
31,2015-12-31,55321650992.89,44235748544.3,11085902448.59,1386202707.48
31,2016-06-30,59474185119.77,48460842515.57,11013342604.2,742679544.26
31,2016-12-31,61276950060.49,49989420885.34,11287529175.15,2224046500.47
31,2017-06-30,64378704435.75,53400903695.51,10977800740.24,677332990.35
31,2017-12-31,75751475786.87,64006886623.21,11744589163.66,2391449717.44
31,2018-06-30,85401535224.3,73123242226.07,12278292998.23,1258183162.92
32,2014-06-30,1410190940.03,389598635.46,1020592304.57,-9618060.3
32,2014-12-31,2766920133.14,1274829322.73,1492090810.41,94041436.76
32,2015-06-30,1290975140.1,278973486.81,1012001653.29,-5088239.41
32,2015-12-31,2125737187.65,617238112.58,1508499075.07,30992378.34
32,2016-06-30,1962003496.63,425514259.1,1536489237.53,37868379.95
32,2016-12-31,1955415046.82,405787882.92,1549627163.9,54775293.87
32,2017-06-30,2008326632.82,452076558.71,1556250074.11,31028853.88
32,2017-12-31,1927338865.54,358574218.59,1568764646.95,32147754.93
32,2018-06-30,2104090736.59,636190244.22,1467900492.37,72150973.52
33,2014-06-30,508761484.77,252363540.63,256397944.14,-9955031.64
33,2014-12-31,467105430.4,659101263.95,-191995833.55,-88629793.11
33,2015-06-30,416832576.84,605016901.05,-188184324.21,-11696929.98
33,2015-12-31,424383658.15,414767779.6,9615878.55,14271163.37
33,2016-06-30,339152605.88,327522550.61,11630055.27,2327697.81
33,2016-12-31,319193188.34,296377054.6,22816133.74,7089837.22
34,2014-06-30,453226687.54,297571084.01,155655603.53,50997529.01
34,2014-12-31,461668045.26,296031430.39,165636614.87,61961992.33
34,2015-06-30,446376584.44,257967398.98,188409185.46,-8248536.42
34,2015-12-31,448008298.67,261008439.78,186999858.89,-7069084.04
34,2016-06-30,16291523363.59,13805873440.92,2485649922.67,260740184.72
34,2016-12-31,17037169575.96,14386496360.57,2650673215.39,460956004.4
34,2017-06-30,18297093045.6,15441067725.79,2856025319.81,257697595.52
34,2017-12-31,24273190387.85,20915357746.75,3357832641.1,490943561.82
34,2018-06-30,25454693246.66,21855802977.63,3598890269.03,317971275.07
35,2014-06-30,2232166064.49,1278053057.84,954113006.65,61941476.02
35,2014-12-31,3272286230.68,1650104043.97,1622182186.71,186610207.37
35,2015-06-30,3979172800.77,2290307407.55,1688865393.22,72584265.04
35,2015-12-31,4399024386.49,2548646969.57,1850377416.92,241395913.95
35,2016-06-30,4563721932.12,2641368982.48,1922352949.64,66164298.17
35,2016-12-31,5998494257.39,3936032535.99,2062461721.4,194728863.44
35,2017-06-30,6625597024.75,4489752643.88,2135844380.87,98378755.83
35,2017-12-31,8130264343.09,5081881799.23,3048382543.86,289572355.11
35,2018-06-30,8271932475.55,5130495533.78,3141436941.77,127942573.9
36,2014-06-30,3809268940.63,1313117586.81,2496151353.82,9523960.47
36,2014-12-31,4568926337.34,2075581408.19,2493344929.15,56545324.2
36,2015-06-30,5434456956.19,2913490384.8,2520966571.39,-14817278.12
36,2015-12-31,6463740837.81,3780738597.98,2683002239.83,120664489.83
36,2016-06-30,8752398507.28,5650552852.67,3101845654.61,578523340.22
36,2016-12-31,9725476321.94,5700766172.88,4024710149.06,1790366414.29
36,2017-06-30,8253772414.37,3504558528.61,4749213885.76,1191343461.45
36,2017-12-31,8718661474.28,3635999091.13,5082662383.15,1610033339.39
36,2018-06-30,10048152622.74,5130607549.04,4917545073.7,541245841.34
37,2014-06-30,5549757952.73,3851449378.65,1698308574.08,-385384282.49
37,2014-12-31,5056415825.14,3678268634.59,1378147190.55,-929066174.37
37,2015-06-30,5148274872.24,3898856748.63,1249418123.61,-261981338.66
37,2015-12-31,4579853736.04,4030942930.76,548910805.28,-1229564019.87
37,2016-06-30,4597811157.97,4128368783.21,469442374.76,-89993852.47
37,2016-12-31,4363703614.03,2339734136.66,2023969477.37,1473400586.6
37,2017-06-30,3043070710.89,1049813820.57,1993256890.32,-29625877.61
37,2017-12-31,2883804392.7,859457838.57,2024346554.13,9083601.28
37,2018-06-30,3264506507.1,1211330190.22,2053176316.88,37776886.1
38,2014-06-30,676032981.64,486453590.62,189579391.02,-9679329.41
38,2014-12-31,683292590.38,536503218.5,146789371.88,-50809705.84
38,2015-06-30,631867403.54,485903260.04,145964143.5,3614200.98
38,2015-12-31,744777535.46,589925801.6,154851733.86,19886562.53
38,2016-06-30,6534052789.1,1598777574.26,4935275214.84,91234479.8
38,2016-12-31,6393623559.44,1279704305.0,5113919254.44,271450891.38
38,2017-06-30,6093742304.06,849261431.76,5244480872.3,240869792.77
38,2017-12-31,5771928314.43,375061344.82,5396866969.61,446581297.36
38,2018-06-30,5677664443.18,376532494.4,5301131948.78,143823012.89
39,2014-06-30,82494196000.0,57473080000.0,25021116000.0,1254810000.0
39,2014-12-31,87776181000.0,60494066000.0,27282115000.0,3297874000.0
39,2015-06-30,95593491000.0,65362621000.0,30230870000.0,2026744000.0
39,2015-12-31,106763171000.0,71268295000.0,35494876000.0,2943736000.0
39,2016-06-30,114799917000.0,80446229000.0,34353688000.0,-318988000.0
39,2016-12-31,124614748000.0,85479956000.0,39134792000.0,800538000.0
39,2017-06-30,129498854000.0,89626971000.0,39871883000.0,1524203000.0
39,2017-12-31,130604379000.0,87366945000.0,43237434000.0,4171685000.0
39,2018-06-30,138268359000.0,96622318000.0,41646041000.0,1828383000.0
40,2014-06-30,4036585574.47,2794306683.95,1242278890.52,12032038.77
40,2014-12-31,4269813106.09,3001258570.92,1268554535.17,87666901.58
40,2015-06-30,4213617287.85,2926290874.8,1287326413.05,36026332.03
40,2015-12-31,6768909271.05,5443332113.66,1325577157.39,107527806.19
40,2016-06-30,19033431519.42,8167862188.67,10865569330.75,113423601.78
40,2016-12-31,17287967224.95,6324044571.86,10963922653.09,221466296.4
40,2017-06-30,21124093290.27,10016672162.11,11107421128.16,177633545.95
40,2017-12-31,28903531696.82,17344066585.28,11559465111.54,570026133.15
40,2018-06-30,28286652310.88,15528147993.62,12758504317.26,1580506506.62
42,2014-06-30,12947132548.63,9670967525.71,3276165022.92,382212006.15
42,2014-12-31,16196337801.76,12895535299.31,3300802502.45,491873531.32
42,2015-06-30,20528344838.09,16880599939.7,3647744898.39,590655115.46
42,2015-12-31,24621393457.39,19005208233.73,5616185223.66,630159828.33
42,2016-06-30,29289006995.6,23763680648.22,5525326347.38,151162515.72
42,2016-12-31,29161608501.95,23300464100.91,5861144401.04,538402521.82
42,2017-06-30,35433084685.16,29388679244.22,6044405440.94,258589097.22
42,2017-12-31,43619885474.24,36736070588.47,6883814885.77,1050700043.76
42,2018-06-30,44323436547.37,36759465051.01,7563971496.36,1093958434.35
43,2014-06-30,20508794530.51,16583936412.77,3924858117.74,-14638057.99
43,2014-12-31,20068381834.15,15913617135.11,4154764699.04,664015665.52
43,2015-06-30,22309400040.88,18213113391.71,4096286649.17,-116549352.88
43,2015-12-31,22881018616.52,18185674471.04,4695344145.48,566059542.17
43,2016-06-30,23496182615.05,18878238804.96,4617943810.09,26266414.28
43,2016-12-31,21733185265.69,17005355956.71,4727829308.98,283230283.71
43,2017-06-30,19047274326.35,14531163624.57,4516110701.78,-67192831.61
43,2017-12-31,19114097655.49,14515533274.43,4598564381.06,301188231.04
43,2018-06-30,19380066990.01,14718444374.35,4661622615.66,202275492.05
45,2014-06-30,2796914905.53,532022187.52,2264892718.01,-14202692.41
45,2014-12-31,2822783501.87,626534253.61,2196249248.26,-83135175.41
45,2015-06-30,2811815384.62,637266569.58,2174548815.04,17372032.48
45,2015-12-31,2969394978.7,794825433.15,2174569545.55,19290072.72
45,2016-06-30,2860439753.13,717977486.66,2142462266.47,-28138046.59
45,2016-12-31,4119586266.47,679467284.36,3440118982.11,-92920287.35
45,2017-06-30,4071838673.13,619257284.31,3452581388.82,19754452.48
45,2017-12-31,4195746507.56,672727377.98,3523019129.58,86168385.31
45,2018-06-30,4299888118.25,768423587.21,3531464531.04,9943396.57
46,2014-06-30,44575892341.03,35430882594.31,9145009746.72,246407477.53
46,2014-12-31,70889108573.14,58374057829.63,12515050743.51,2280864358.3
46,2015-06-30,101119168332.25,87736048490.75,13383119841.5,1192134856.81
46,2015-12-31,118356200350.18,103193568002.48,15162632347.7,3584795663.61
46,2016-06-30,138982735530.63,117858293653.69,21124441876.94,1482572871.54
46,2016-12-31,167835999425.01,142942077244.72,24893922180.29,3606295066.22
46,2017-06-30,178189793386.06,152794132342.62,25395661043.44,827860343.02
46,2017-12-31,187775062711.27,160279180673.97,27495882037.3,3758124668.64
46,2018-06-30,203019554569.52,173648778631.66,29370775937.86,505441582.83
48,2014-06-30,1615189985.55,1125420619.4,489769366.15,7957691.99
48,2014-12-31,1982938749.22,1378268058.32,604670690.9,153186018.43
48,2015-06-30,2087510406.45,1327842910.59,759667495.86,198281375.18
48,2015-12-31,1940801275.08,1138455502.61,802345772.47,246169418.44
48,2016-06-30,1939473455.65,1104174546.22,835298909.43,26381131.57
48,2016-12-31,1959736873.69,1133676715.82,826060157.87,-21024881.43
48,2017-06-30,2321383410.57,1548609369.5,772774041.07,-38218267.98
48,2017-12-31,3808599363.81,2667552973.42,1141046390.39,438805733.81
48,2018-06-30,4112194743.44,2905830606.89,1206364136.55,110889282.46
49,2014-06-30,2068655925.67,1323888719.88,744767205.79,146952620.67
49,2014-12-31,4675603417.17,3757120777.29,918482639.88,396805583.2
49,2015-06-30,3268527715.14,2232869600.69,1035658114.45,196942477.89
49,2015-12-31,3402574472.52,2204771243.78,1197803228.74,387841108.34
49,2016-06-30,2872841279.23,1573037637.52,1299803641.71,122040656.65
49,2016-12-31,5145792230.51,3645687160.06,1500105070.45,436386942.91
49,2017-06-30,4553865699.84,2936628672.88,1617237026.96,195197795.99
49,2017-12-31,7619067450.01,5803846853.44,1815220596.57,499828522.75
49,2018-06-30,6472630302.35,4567015978.63,1905614323.72,220395125.36
50,2014-06-30,7572507375.0,4215464145.0,3357043230.0,133615397.0
50,2014-12-31,15692498583.0,7131382946.0,8561115637.0,156060965.0
50,2015-06-30,17884669645.0,9188134668.0,8696534977.0,23436309.0
50,2015-12-31,21628692218.0,8380358043.0,13248334175.0,18992079.0
50,2016-06-30,19692208173.0,6192469273.0,13499738900.0,60572989.0
50,2016-12-31,21679336300.21,7920376783.63,13758959516.58,355693993.11
50,2017-06-30,24685721082.71,10469884120.06,14215836962.65,296482016.37
50,2017-12-31,29652260560.19,15177463413.53,14474797146.66,884448385.63
50,2018-06-30,59542992628.38,33701183759.42,25841808868.96,897326504.83
55,2014-06-30,3125590102.6,1892962143.67,1232627958.93,42610666.76
