,Stkcd,Accper,Typrep,total_assets,tptal_liability,total_equity
1285,34,2016-12-31,A,17037169575.96,14386496360.57,2650673215.39
1304,35,2014-06-30,A,2232166064.49,1278053057.84,954113006.65
1308,35,2014-12-31,A,3272286230.68,1650104043.97,1622182186.71
1314,35,2015-06-30,A,3979172800.77,2290307407.55,1688865393.22
1318,35,2015-12-31,A,4399024386.49,2548646969.57,1850377416.92
1324,35,2016-06-30,A,4563721932.12,2641368982.48,1922352949.64
1328,35,2016-12-31,A,5998494257.39,3936032535.99,2062461721.4
1347,36,2014-06-30,A,3809268940.63,1313117586.81,2496151353.82
1354,36,2014-12-31,A,4568926337.34,2075581408.19,2493344929.15
1358,36,2015-06-30,A,5434456956.19,2913490384.8,2520966571.39
1362,36,2015-12-31,A,6463740837.81,3780738597.98,2683002239.83
1368,36,2016-06-30,A,8752398507.28,5650552852.67,3101845654.61
1372,36,2016-12-31,A,9725476321.94,5700766172.88,4024710149.06
1392,37,2014-06-30,A,5549757952.73,3851449378.65,1698308574.08
1396,37,2014-12-31,A,5056415825.14,3678268634.59,1378147190.55
1402,37,2015-06-30,A,5148274872.24,3898856748.63,1249418123.61
1406,37,2015-12-31,A,4579853736.04,4030942930.76,548910805.28
1412,37,2016-06-30,A,4597811157.97,4128368783.21,469442374.76
1416,37,2016-12-31,A,4363703614.03,2339734136.66,2023969477.37
1435,38,2014-06-30,A,676032981.64,486453590.62,189579391.02
1440,38,2014-12-31,A,683292590.38,536503218.5,146789371.88
1446,38,2015-06-30,A,631867403.54,485903260.04,145964143.5
1450,38,2015-12-31,A,744777535.46,589925801.6,154851733.86
1456,38,2016-06-30,A,6534052789.1,1598777574.26,4935275214.84
1460,38,2016-12-31,A,6393623559.44,1279704305.0,5113919254.44
1480,39,2014-06-30,A,82494196000.0,57473080000.0,25021116000.0
1483,39,2014-12-31,A,87776181000.0,60494066000.0,27282115000.0
1490,39,2015-06-30,A,95593491000.0,65362621000.0,30230870000.0
1494,39,2015-12-31,A,106763171000.0,71268295000.0,35494876000.0
1499,39,2016-06-30,A,114799917000.0,80446229000.0,34353688000.0
1504,39,2016-12-31,A,124614748000.0,85479956000.0,39134792000.0
1524,40,2014-06-30,A,4036585574.47,2794306683.95,1242278890.52
1528,40,2014-12-31,A,4269813106.09,3001258570.92,1268554535.17
1534,40,2015-06-30,A,4213617287.85,2926290874.8,1287326413.05
1538,40,2015-12-31,A,6768909271.05,5443332113.66,1325577157.39
1544,40,2016-06-30,A,19033431519.42,8167862188.67,10865569330.75
1548,40,2016-12-31,A,17287967224.95,6324044571.86,10963922653.09
1567,42,2014-06-30,A,12947132548.63,9670967525.71,3276165022.92
1572,42,2014-12-31,A,16196337801.76,12895535299.31,3300802502.45
1578,42,2015-06-30,A,20528344838.09,16880599939.7,3647744898.39
1582,42,2015-12-31,A,24621393457.39,19005208233.73,5616185223.66
1587,42,2016-06-30,A,29289006995.6,23763680648.22,5525326347.38
1592,42,2016-12-31,A,29161608501.95,23300464100.91,5861144401.04
1611,43,2014-06-30,A,20508794530.51,16583936412.77,3924858117.74
1616,43,2014-12-31,A,20068381834.15,15913617135.11,4154764699.04
1622,43,2015-06-30,A,22309400040.88,18213113391.71,4096286649.17
1626,43,2015-12-31,A,22881018616.52,18185674471.04,4695344145.48
1632,43,2016-06-30,A,23496182615.05,18878238804.96,4617943810.09
1636,43,2016-12-31,A,21733185265.69,17005355956.71,4727829308.98
1656,45,2014-06-30,A,2796914905.53,532022187.52,2264892718.01
1660,45,2014-12-31,A,2822783501.87,626534253.61,2196249248.26
1666,45,2015-06-30,A,2811815384.62,637266569.58,2174548815.04
1670,45,2015-12-31,A,2969394978.7,794825433.15,2174569545.55
1676,45,2016-06-30,A,2860439753.13,717977486.66,2142462266.47
1680,45,2016-12-31,A,4119586266.47,679467284.36,3440118982.11
1699,46,2014-06-30,A,44575892341.03,35430882594.31,9145009746.72
1706,46,2014-12-31,A,70889108573.14,58374057829.63,12515050743.51
1710,46,2015-06-30,A,101119168332.25,87736048490.75,13383119841.5
1714,46,2015-12-31,A,118356200350.18,103193568002.48,15162632347.7
1720,46,2016-06-30,A,138982735530.63,117858293653.69,21124441876.94
1724,46,2016-12-31,A,167835999425.01,142942077244.72,24893922180.29
1743,48,2014-06-30,A,1615189985.55,1125420619.4,489769366.15
1748,48,2014-12-31,A,1982938749.22,1378268058.32,604670690.9
1754,48,2015-06-30,A,2087510406.45,1327842910.59,759667495.86
1758,48,2015-12-31,A,1940801275.08,1138455502.61,802345772.47
1764,48,2016-06-30,A,1939473455.65,1104174546.22,835298909.43
1768,48,2016-12-31,A,1959736873.69,1133676715.82,826060157.87
1788,49,2014-06-30,A,2068655925.67,1323888719.88,744767205.79
1792,49,2014-12-31,A,4675603417.17,3757120777.29,918482639.88
1798,49,2015-06-30,A,3268527715.14,2232869600.69,1035658114.45
1802,49,2015-12-31,A,3402574472.52,2204771243.78,1197803228.74
1808,49,2016-06-30,A,2872841279.23,1573037637.52,1299803641.71
1812,49,2016-12-31,A,5145792230.51,3645687160.06,1500105070.45
1831,50,2014-06-30,A,7572507375.0,4215464145.0,3357043230.0
1836,50,2014-12-31,A,15692498583.0,7131382946.0,8561115637.0
1842,50,2015-06-30,A,17884669645.0,9188134668.0,8696534977.0
1846,50,2015-12-31,A,21628692218.0,8380358043.0,13248334175.0
1852,50,2016-06-30,A,19692208173.0,6192469273.0,13499738900.0
1856,50,2016-12-31,A,21679336300.21,7920376783.63,13758959516.58
1875,55,2014-06-30,A,3125590102.6,1892962143.67,1232627958.93
1880,55,2014-12-31,A,3662719900.41,2362185272.42,1300534627.99
1886,55,2015-06-30,A,4044758394.03,2723999005.78,1320759388.25
1890,55,2015-12-31,A,4464147811.4,3130104726.53,1334043084.87
1896,55,2016-06-30,A,5197762204.44,3889735893.16,1308026311.28
1900,55,2016-12-31,A,6787051278.08,4484737927.91,2302313350.17
1919,56,2014-06-30,A,7916698557.76,4609776141.5,3306922416.26
1924,56,2014-12-31,A,7871959541.86,4946448540.49,2925511001.37
1930,56,2015-06-30,A,7892045420.31,4957855057.9,2934190362.41
1934,56,2015-12-31,A,7995714299.09,2996005847.06,4999708452.03
1940,56,2016-06-30,A,9751988113.12,4701515814.65,5050472298.47
1944,56,2016-12-31,A,10640504286.57,5132312418.46,5508191868.11
1963,58,2014-06-30,A,2486156634.68,1015703279.75,1470453354.93
1968,58,2014-12-31,A,2659717718.28,1164348641.67,1495369076.61
1974,58,2015-06-30,A,2495946288.44,859032086.16,1636914202.28
1978,58,2015-12-31,A,2614660524.37,934315783.47,1680344740.9
1984,58,2016-06-30,A,2479696060.5,805001544.17,1674694516.33
1988,58,2016-12-31,A,2548276265.32,789767713.39,1758508551.93
2008,59,2014-06-30,A,29833537582.65,23356746688.6,6476790894.05
2012,59,2014-12-31,A,34597604045.13,25117406829.97,9480197215.16
2018,59,2015-06-30,A,30396760167.3,21044609510.9,9352150656.4
2022,59,2015-12-31,A,29920285426.35,20702917945.89,9217367480.46
2028,59,2016-06-30,A,30750910123.92,20568991189.53,10181918934.39
2032,59,2016-12-31,A,31370608575.54,20286479961.8,11084128613.74
2051,60,2014-06-30,A,14571312137.05,7963242518.2,6608069618.85
2056,60,2014-12-31,A,14215785394.62,7687861877.49,6527923517.13
2062,60,2015-06-30,A,15461979522.15,7570680223.51,7891299298.64
2066,60,2015-12-31,A,15882835627.42,7992857325.8,7889978301.62
2072,60,2016-06-30,A,16159957592.41,8160249146.93,7999708445.48
2076,60,2016-12-31,A,16969105940.73,8753158555.42,8215947385.31
2095,61,2014-06-30,A,12827895153.86,6718920026.19,6108975127.67
2100,61,2014-12-31,A,13805158178.31,7648954013.32,6156204164.99
2106,61,2015-06-30,A,14698591081.56,8545420077.1,6153171004.46
2110,61,2015-12-31,A,16131480258.2,10046731841.72,6084748416.48
2116,61,2016-06-30,A,16813698945.3,10652339874.36,6161359070.94
2120,61,2016-12-31,A,17249187728.53,11000879367.27,6248308361.26
2139,62,2014-06-30,A,4003899100.92,1833971031.24,2169928069.68
2144,62,2014-12-31,A,4046140047.55,1666716191.15,2379423856.4
2150,62,2015-06-30,A,4138411891.79,1528111135.02,2610300756.77
2154,62,2015-12-31,A,6182360311.87,2503419027.2,3678941284.67
2160,62,2016-06-30,A,5973091648.2,2230257725.42,3742833922.78
2164,62,2016-12-31,A,6922645147.29,2840556831.4,4082088315.89
2184,63,2014-06-30,A,101852878000.0,77026354000.0,24826524000.0
2188,63,2014-12-31,A,106214196000.0,79921692000.0,26292504000.0
2194,63,2015-06-30,A,113143588000.0,76987915000.0,36155673000.0
2198,63,2015-12-31,A,120893897000.0,77545292000.0,43348605000.0
2204,63,2016-06-30,A,129916283000.0,85983385000.0,43932898000.0
2208,63,2016-12-31,A,141640910000.0,100755820000.0,40885090000.0
2227,65,2014-06-30,A,4206127833.4,3203018748.78,1003109084.62
2232,65,2014-12-31,A,4917983848.76,3736832241.61,1181151607.15
2238,65,2015-06-30,A,6051406967.39,4059208953.99,1992198013.4
2242,65,2015-12-31,A,6617550768.13,4453509372.34,2164041395.79
2248,65,2016-06-30,A,8334907973.43,6088800713.55,2246107259.88
2252,65,2016-12-31,A,12148177174.86,8487277322.0,3660899852.86
2271,66,2014-06-30,A,41066587004.92,33010615156.05,8055971848.87
2277,66,2014-12-31,A,40551722167.22,32082642364.53,8469079802.69
2282,66,2015-06-30,A,38150461274.71,29923008639.44,8227452635.27
2286,66,2015-12-31,A,39456067228.4,30752916948.59,8703150279.81
2292,66,2016-06-30,A,37169968664.98,28298243309.65,8871725355.33
2296,66,2016-12-31,A,40860876598.04,31355727405.2,9505149192.84
2316,68,2014-06-30,A,584306216.15,417097364.91,167208851.24
2320,68,2014-12-31,A,420734829.16,304297473.26,116437355.9
2326,68,2015-06-30,A,637076423.92,27103515.59,609972908.33
2330,68,2015-12-31,A,757877879.31,95482909.71,662394969.6
2336,68,2016-06-30,A,735724883.66,68484558.41,667240325.25
2342,68,2016-12-31,A,1313724067.11,512816704.38,800907362.73
2359,69,2014-06-30,A,89780156514.78,60798997372.71,28981159142.07
2364,69,2014-12-31,A,94875367925.37,62627667269.05,32247700656.32
2370,69,2015-06-30,A,96665707226.02,63848327400.29,32817379825.73
2374,69,2015-12-31,A,115266174371.48,73090088862.48,42176085509.0
2380,69,2016-06-30,A,121802674316.33,78598997515.88,43203676800.45
2384,69,2016-12-31,A,146344889013.21,98228880083.32,48116008929.89
2403,70,2014-06-30,A,2400307759.74,1202631729.95,1197676029.79
2408,70,2014-12-31,A,2608137126.19,1346686004.18,1261451122.01
2414,70,2015-06-30,A,2750589349.88,1449340903.01,1301248446.87
2418,70,2015-12-31,A,4044451264.93,2236403384.87,1808047880.06
2424,70,2016-06-30,A,4840378432.5,2929250892.37,1911127540.13
2428,70,2016-12-31,A,5065491995.83,3013676440.7,2051815555.13
2447,78,2014-06-30,A,8977044419.53,7190174119.07,1786870300.46
2451,78,2014-12-31,A,9631706545.91,7849129815.37,1782576730.54
2458,78,2015-06-30,A,11415115713.26,9352936226.86,2062179486.4
2462,78,2015-12-31,A,12762259215.31,10619197161.26,2143062054.05
2468,78,2016-06-30,A,14826612269.43,9538760507.02,5287851762.41
2472,78,2016-12-31,A,16661466476.44,10783504961.52,5877961514.92
2491,88,2014-06-30,A,5869697863.93,605955415.38,5263742448.55
2496,88,2014-12-31,A,6825954146.11,1284766755.95,5541187390.16
2502,88,2015-06-30,A,7320460914.82,1616479387.83,5703981526.99
2506,88,2015-12-31,A,7878828154.69,1807119440.0,6071708714.69
2512,88,2016-06-30,A,7987353606.83,1739920551.56,6247433055.27
2516,88,2016-12-31,A,8257125681.51,1778102246.05,6479023435.46
2535,89,2014-06-30,A,12543264177.9,4663341597.64,7879922580.26
2540,89,2014-12-31,A,12697555048.16,4774766609.99,7922788438.17
2546,89,2015-06-30,A,12570513213.98,2625201859.57,9945311354.41
2550,89,2015-12-31,A,11955019714.0,1700081623.77,10254938090.23
2556,89,2016-06-30,A,12244132271.8,1819902909.84,10424229361.96
2560,89,2016-12-31,A,12479875588.52,1759761417.61,10720114170.91
2579,90,2014-06-30,A,10676128380.86,7398830632.64,3277297748.22
2584,90,2014-12-31,A,11027294623.55,7330598485.21,3696696138.34
2590,90,2015-06-30,A,10931747736.62,6941239648.09,3990508088.53
2594,90,2015-12-31,A,16553824056.0,10355694352.77,6198129703.23
2600,90,2016-06-30,A,16284968939.44,10254786494.13,6030182445.31
2604,90,2016-12-31,A,19290633521.02,12954998978.4,6335634542.62
2623,96,2014-06-30,A,2054433876.83,137793908.93,1916639967.9
2628,96,2014-12-31,A,2033060595.18,143043300.91,1890017294.27
2634,96,2015-06-30,A,2345731555.41,288626649.06,2057104906.35
2638,96,2015-12-31,A,2217052224.23,197802086.68,2019250137.55
2644,96,2016-06-30,A,2242988886.91,152681097.4,2090307789.51
2648,96,2016-12-31,A,2429874391.24,125361978.16,2304512413.08
2667,99,2014-06-30,A,3900796344.35,1396026346.15,2504769998.2
2672,99,2014-12-31,A,4454437637.45,1731268159.87,2723169477.58
2678,99,2015-06-30,A,4527543403.59,1765517661.52,2762025742.07
2682,99,2015-12-31,A,4961759740.07,2147625556.54,2814134183.53
2688,99,2016-06-30,A,4747525409.03,1934727364.15,2812798044.88
2692,99,2016-12-31,A,4893194780.52,2017063095.42,2876131685.1
2711,100,2014-06-30,A,84198466000.0,60748289000.0,23450177000.0
2716,100,2014-12-31,A,92876886000.0,66016391000.0,26860495000.0
2722,100,2015-06-30,A,112309199000.0,76793467000.0,35515732000.0
2726,100,2015-12-31,A,111754821000.0,74125380000.0,37629441000.0
2732,100,2016-06-30,A,129000803000.0,87771978000.0,41228825000.0
2736,100,2016-12-31,A,147136786000.0,101390005000.0,45746781000.0
2755,150,2014-06-30,A,2684744570.63,1856318804.55,828425766.08
2760,150,2014-12-31,A,2527722874.17,1701371498.93,826351375.24
2765,150,2015-06-30,A,3870272954.66,2231445508.43,1638827446.23
2770,150,2015-12-31,A,4549641032.88,2866346034.1,1683294998.78
2776,150,2016-06-30,A,5587875408.64,2988193484.8,2599681923.84
2780,150,2016-12-31,A,7199985576.51,4689564893.51,2510420683.0
2799,151,2014-06-30,A,3168999276.11,2191664182.15,977335093.96
2804,151,2014-12-31,A,2919638409.89,1916981676.69,1002656733.2
2810,151,2015-06-30,A,2779335012.1,1828508735.94,950826276.16
2814,151,2015-12-31,A,2415670229.91,1400366132.87,1015304097.04
2820,151,2016-06-30,A,1836914676.96,886598874.3,950315802.66
2824,151,2016-12-31,A,2068733906.34,1070642990.6,998090915.74
2843,153,2014-06-30,A,2104184553.96,1044035117.76,1060149436.2
2848,153,2014-12-31,A,2237532801.65,1090603742.93,1146929058.72
2854,153,2015-06-30,A,2229514020.41,1050772154.67,1178741865.74
2858,153,2015-12-31,A,2305280740.34,1121036689.79,1184244050.55
2864,153,2016-06-30,A,2446540120.49,1292235709.04,1154304411.45
2868,153,2016-12-31,A,2490374171.78,1337600416.48,1152773755.3
2888,155,2014-06-30,A,2747177340.74,2236717754.61,510459586.13
